iter	Passed	Remaining
0	152	152171
1	154	77150
2	156	51995
3	162	40394
4	166	33092
5	168	27995
6	171	24349
7	176	21915
8	179	19775
9	182	18034
10	184	16621
11	187	15455
12	190	14433
13	192	13557
14	194	12750
15	195	12030
16	197	11403
17	199	10903
18	201	10410
19	202	9932
20	204	9518
21	205	9138
22	206	8767
23	207	8427
24	208	8124
25	209	7845
26	210	7577
27	211	7329
28	212	7114
29	213	6903
30	214	6699
31	215	6508
32	216	6335
33	216	6162
34	217	6000
35	218	5846
36	219	5714
37	220	5581
38	221	5453
39	222	5332
40	223	5218
41	223	5105
42	224	4996
43	225	4893
44	226	4799
45	227	4707
46	227	4619
47	228	4534
48	229	4456
49	230	4378
50	231	4301
51	231	4228
52	232	4157
53	233	4097
54	234	4034
55	235	3973
56	236	3918
57	237	3858
58	238	3800
59	239	3751
60	240	3699
61	241	3647
62	241	3595
63	242	3545
64	243	3500
65	244	3453
66	244	3408
67	245	3359
68	245	3317
69	246	3276
70	247	3235
71	248	3201
72	249	3166
73	250	3130
74	251	3097
75	251	3061
76	252	3032
77	253	3000
78	254	2967
79	255	2934
80	255	2903
81	256	2872
82	257	2842
83	258	2815
84	258	2785
85	259	2759
86	260	2729
87	260	2703
88	261	2677
89	262	2651
90	263	2630
91	264	2608
92	265	2590
93	266	2567
94	267	2547
95	268	2525
96	268	2503
97	269	2481
98	270	2461
99	271	2440
100	271	2420
101	272	2397
102	273	2378
103	273	2359
104	274	2340
105	275	2322
106	276	2304
107	276	2286
108	277	2270
109	278	2256
110	279	2240
111	280	2224
112	281	2210
113	282	2194
114	283	2179
115	283	2162
116	284	2146
117	285	2131
118	285	2114
119	286	2100
120	287	2087
121	288	2073
122	288	2056
123	289	2042
124	289	2029
125	290	2015
126	291	2002
127	291	1987
128	292	1976
129	294	1969
130	295	1962
131	296	1951
132	297	1941
133	298	1929
134	300	1922
135	300	1911
136	301	1900
137	302	1888
138	303	1877
139	303	1866
140	304	1855
141	305	1844
142	306	1834
143	306	1823
144	308	1820
145	309	1813
146	310	1802
147	311	1792
148	312	1782
149	312	1772
150	313	1762
151	314	1752
152	314	1743
153	315	1734
154	316	1725
155	317	1716
156	318	1707
157	318	1698
158	319	1689
159	320	1680
160	320	1671
161	321	1662
162	324	1666
163	325	1659
164	326	1652
165	327	1645
166	328	1637
167	329	1631
168	330	1626
169	331	1620
170	332	1613
171	333	1606
172	334	1599
173	335	1592
174	337	1590
175	339	1587
176	340	1581
177	341	1575
178	342	1572
179	344	1570
180	345	1562
181	346	1558
182	347	1552
183	348	1546
184	350	1542
185	352	1543
186	354	1539
187	354	1533
188	355	1527
189	356	1521
190	358	1516
191	359	1511
192	359	1505
193	360	1499
194	361	1493
195	362	1488
196	364	1483
197	365	1479
198	366	1474
199	367	1470
200	368	1465
201	369	1459
202	370	1453
203	371	1448
204	372	1443
205	373	1437
206	373	1432
207	374	1426
208	375	1420
209	376	1415
210	377	1411
211	378	1406
212	379	1402
213	381	1399
214	382	1396
215	384	1394
216	385	1389
